Method Strike Volatility
Reference 713.095 0.5227499999999999
Reference 784.4045000000001 0.52558
Reference 855.714 0.52671
Reference 927.0235 0.52048
Reference 998.333 0.49520000000000003
Reference 1069.6425 0.43748
Reference 1140.952 0.36927
Reference 1212.2615 0.31718
Reference 1283.5710000000001 0.27681
Reference 1354.8805 0.22624
Reference 1426.19 0.16268999999999997
Reference 1497.4995000000001 0.13499
Reference 1568.8090000000002 0.16161
Reference 1640.1185 0.19118
Reference 1711.428 0.22267
Reference 1782.7375000000002 0.24728999999999998
Reference 1854.047 0.26875
Reference 1925.3565 0.28764
Reference 1996.666 0.30498000000000003
Reference 2067.9755 0.32127
Reference 2139.285 0.33658
Parabola 713.095 4.0052114961549945
Parabola 727.3569 3.806008666402627
Parabola 741.6188000000001 3.615781757228148
Parabola 755.8807 3.434092426132744
Parabola 770.1426 3.260530483037376
Parabola 784.4045 3.094711629024594
Parabola 798.6664000000001 2.9362754127432615
Parabola 812.9283 2.784883380136561
Parabola 827.1902 2.640217396243555
Parabola 841.4521 2.5019781204771157
Parabola 855.7139999999999 2.3698836190637893
Parabola 869.9759 2.243668100301431
Parabola 884.2378 2.123080759994901
Parabola 898.4997 2.0078847259084687
Parabola 912.7616 1.8978560913588287
Parabola 927.0235 1.7927830291925009
Parabola 941.2854 1.692464978369434
Parabola 955.5473 1.596711896230552
Parabola 969.8092 1.5053435702776752
Parabola 984.0711 1.4181889839538706
Parabola 998.333 1.3350857314931392
Parabola 1012.5949 1.2558794774207482
Parabola 1026.8568 1.1804234567383032
Parabola 1041.1187 1.108578012228638
Parabola 1055.3806 1.0402101656711404
Parabola 1069.6425 0.9751932200740606
Parabola 1083.9044 0.9134063903114212
Parabola 1098.1662999999999 0.8547344598027269
Parabola 1112.4281999999998 0.7990674610972672
Parabola 1126.6901 0.746300378424778
Parabola 1140.952 0.6963328704532346
Parabola 1155.2139 0.6490690116549932
Parabola 1169.4758 0.604417050826681
Parabola 1183.7377000000001 0.562289185437699
Parabola 1197.9995999999999 0.5226013505988969
Parabola 1212.2615 0.48527302154806534
Parabola 1226.5234 0.4502270286438162
Parabola 1240.7853 0.41738938394511826
Parabola 1255.0472 0.3866891185313726
Parabola 1269.3091 0.3580581297881495
Parabola 1283.571 0.3314310379474407
Parabola 1297.8328999999999 0.3067450512291264
Parabola 1312.0947999999999 0.28393983898292324
Parabola 1326.3566999999998 0.2629574122779173
Parabola 1340.6186 0.24374201143034543
Parabola 1354.8805 0.22624
Parabola 1369.1424 0.21039976482187497
Parabola 1383.4043 0.19617162167278276
Parabola 1397.6662000000001 0.18350772620293304
Parabola 1411.9281 0.17236198979017905
Parabola 1426.1899999999998 0.16269000000000008
Parabola 1440.4519 0.15444894535757434
Parabola 1454.7138 0.14759754415963305
Parabola 1468.9757 0.14209597707340293
Parabola 1483.2376 0.13790582328797288
Parabola 1497.4995 0.13499000000000005
Parabola 1511.7613999999999 0.13331270503094378
Parabola 1526.0232999999998 0.13283936238708163
Parabola 1540.2851999999998 0.13353657058654134
Parabola 1554.5471 0.1353720535895529
Parabola 1568.809 0.1383146141791864
Parabola 1583.0709 0.14233408965006164
Parabola 1597.3328 0.14740130967196918
Parabola 1611.5946999999999 0.1534880562040932
Parabola 1625.8566 0.16056702534363065
Parabola 1640.1185 0.1686117910001127
Parabola 1654.3804 0.17759677029370086
Parabola 1668.6423 0.18749719058219722
Parabola 1682.9042 0.19828905802751007
Parabola 1697.1661 0.20994912761789883
Parabola 1711.4279999999999 0.2224548745675072
Parabola 1725.6898999999999 0.23578446701952438
Parabola 1739.9518 0.24991673998380592
Parabola 1754.2136999999998 0.26483117044396715
Parabola 1768.4755999999998 0.28050785357288144
Parabola 1782.7375 0.29692747999912644
Parabola 1796.9994 0.3140713140703445
Parabola 1811.2613 0.33192117306263913
Parabola 1825.5231999999999 0.35045940728809155
Parabola 1839.7850999999998 0.369668881055251
Parabola 1854.0469999999998 0.3895329544400468
Parabola 1868.3088999999998 0.4100354658269815
Parabola 1882.5708 0.4311607151827399
Parabola 1896.8327 0.45289344802646714
Parabola 1911.0946 0.4752188400629638
Parabola 1925.3564999999999 0.4981224824469056
Parabola 1939.6183999999998 0.521590367647948
Parabola 1953.8802999999998 0.545608875888221
Parabola 1968.1422 0.5701647621252536
Parabola 1982.4041 0.595245143554821
Parabola 1996.666 0.6208374876095676
Parabola 2010.9279 0.6469296004305342
Parabola 2025.1897999999999 0.6735096157899281
Parabola 2039.4516999999998 0.7005659844445954
Parabola 2053.7136 0.7280874639007349
Parabola 2067.9755 0.7560631085713823
Parabola 2082.2374 0.7844822603091496
Parabola 2096.4993 0.8133345392975907
Parabola 2110.7612 0.8426098352854023
Parabola 2125.0230999999994 0.8722982991484672
Parabola 2139.285 0.9023903347654995
Explicit 713.095 0.4909519424591402
Explicit 727.3569 0.4850304043077431
Explicit 741.6188000000001 0.47914186748822213
Explicit 755.8807 0.47328326878508903
Explicit 770.1426 0.4674515962351414
Explicit 784.4045 0.46164382657054504
Explicit 798.6664000000001 0.45585708879026016
Explicit 812.9283 0.4500884488040989
Explicit 827.1902 0.44433509216935724
Explicit 841.4521 0.4385941518508279
Explicit 855.7139999999999 0.4328626953571027
Explicit 869.9759 0.4271381306046144
Explicit 884.2378 0.4214172873383795
Explicit 898.4997 0.41569743309970536
Explicit 912.7616 0.4099756666122636
Explicit 927.0235 0.4042488941107375
Explicit 941.2854 0.39851413408827513
Explicit 955.5473 0.39276827242114126
Explicit 969.8092 0.38700800164527194
Explicit 984.0711 0.38123002400647343
Explicit 998.333 0.3754308749953479
Explicit 1012.5949 0.36960688278042747
Explicit 1026.8568 0.3637543455461084
Explicit 1041.1187 0.35786863759528276
Explicit 1055.3806 0.3519469542598224
Explicit 1069.6425 0.3459835379271588
Explicit 1083.9044 0.3399739101554265
Explicit 1098.1662999999999 0.33391296859492653
Explicit 1112.4281999999998 0.3277951462220521
Explicit 1126.6901 0.321614511012721
Explicit 1140.952 0.3153644756637487
Explicit 1155.2139 0.3090378880974522
Explicit 1169.4758 0.3026270025083868
Explicit 1183.7377000000001 0.2961231592946851
Explicit 1197.9995999999999 0.2895166519147085
Explicit 1212.2615 0.2827968142920836
Explicit 1226.5234 0.2759516528916666
Explicit 1240.7853 0.2689674487014834
Explicit 1255.0472 0.26182871498297583
Explicit 1269.3091 0.25451762953910717
Explicit 1283.571 0.24701363295663833
Explicit 1297.8328999999999 0.2392930091412695
Explicit 1312.0947999999999 0.23132786983236298
Explicit 1326.3566999999998 0.22308555213524267
Explicit 1340.6186 0.21452786118493009
Explicit 1354.8805 0.20561086623319594
Explicit 1369.1424 0.19628527562512557
Explicit 1383.4043 0.18650320969275683
Explicit 1397.6662000000001 0.17624118464947736
Explicit 1411.9281 0.16559301042177485
Explicit 1426.1899999999998 0.15512117917154317
Explicit 1440.4519 0.1466295747959847
Explicit 1454.7138 0.14242985600112892
Explicit 1468.9757 0.14229542285761965
Explicit 1483.2376 0.14449241904921684
Explicit 1497.4995 0.14782720549098757
Explicit 1511.7613999999999 0.15169116742720468
Explicit 1526.0232999999998 0.1557820842026239
Explicit 1540.2851999999998 0.15994435669381818
Explicit 1554.5471 0.1640956495823263
Explicit 1568.809 0.16819166834676255
Explicit 1583.0709 0.1722089235443899
Explicit 1597.3328 0.17613547785912329
Explicit 1611.5946999999999 0.17996615560486917
Explicit 1625.8566 0.18369960920727788
Explicit 1640.1185 0.18733688514730165
Explicit 1654.3804 0.19088021448738912
Explicit 1668.6423 0.19433266112089626
Explicit 1682.9042 0.19769760420359586
Explicit 1697.1661 0.20097858604748411
Explicit 1711.4279999999999 0.20417918191854756
Explicit 1725.6898999999999 0.20730286480125337
Explicit 1739.9518 0.21035303882215864
Explicit 1754.2136999999998 0.21333289515205567
Explicit 1768.4755999999998 0.21624555159541992
Explicit 1782.7375 0.21909389603309037
Explicit 1796.9994 0.2218807199535177
Explicit 1811.2613 0.22460858712485937
Explicit 1825.5231999999999 0.22727996380446142
Explicit 1839.7850999999998 0.22989718089205569
Explicit 1854.0469999999998 0.2324623901203668
Explicit 1868.3088999999998 0.2349776435242484
Explicit 1882.5708 0.2374448938939829
